,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,x,y,c
25844,5qNtB7eGe2IAK4O2wv8TO7,skin and bones,10,67253,0,['Jean Ritchie'],['7cWhIVoEYJd0oWnxULFt8s'],1952,-0.978875495412782,-2.1131302691604152,1,-2.2605997124274326,0,-0.34667059738605455,1.5225957458315527,-0.425119674329468,-0.7179416110090538,-0.7928425124315379,-1.366103665356898,4,-56.96006393432617,-30.163143157958984,71
25845,62hRwBy1YpF2hEsyzeoVbQ,ole slewfoot,10,135400,0,['June Carter Cash'],['0ZnY6mQmgr2yZarjry68td'],1952,0.30948441015554473,0.15466637515873707,0,0.023198899998820265,1,-0.3978121683015464,0.6367944527995372,-0.4250192501009851,0.8358306425394445,1.1243314060947542,0.5657869384866884,4,22.433134078979492,-23.573715209960938,94
25846,6IAoFEE0yrZiRiOyMFA3R4,trouble in mind,11,210067,0,['Cisco Houston'],['1N5hj4BNumkXa8D3fyfMYE'],1952-01-01,-0.9246921348982264,-1.9836859244592062,5,-1.6823308217477064,1,-0.37557670268611515,1.5598624668976242,-0.21602743741355182,-0.5041894224971446,-1.7048584453337214,-1.192001352195084,4,-76.04071807861328,-25.471223831176758,71
25847,73Zx7HBN571ELhQzn6eaaN,karibe taki,11,184560,0,['Yma Sumac'],['1HkQ4XrPffqcVW0TgTTw0d'],1952-05-01,-0.05173799327482696,-0.8099142983277305,4,-0.4971055588934383,1,-0.36612662979955685,1.4193955951870458,-0.4249251960661,-0.2871821245155107,-1.0024121310558693,-0.16536214276136174,4,-38.61403274536133,-50.11301040649414,67
25853,7mAgIoE0nnRdgvz8wTWeEb,tea for two,11,167107,0,['Gerry Mulligan Quartet'],['6nLkWu5DSXItXcB6q2ISTO'],1952-01-01,0.4539733715276937,-0.2859445497671803,7,-0.05402151251804449,1,0.8790594446645924,1.3362621405011934,0.15569209488141025,-0.7814162456686817,1.489137779255628,0.1385273637127033,4,45.88205337524414,-37.73933792114258,79
25854,7ymJ09ZTGLYfSTs4MFY49v,chi-chi - take 4 / complete,10,158533,0,['Charlie Parker Quartet'],['5GBe2GMfPm3IFagD5XuKKs'],1952-12-12,-0.033676873103308344,-0.07953222457666025,1,0.09413164533873894,1,-0.40337103470540425,0.2899272797999454,-0.4175129137391578,-0.9479693468695857,0.6625020613485422,-0.1215509856091033,4,17.665546417236328,-15.97640323638916,94
25855,001ZmOPuWEW5czwun7nkha,would you? (end title),8,92867,0,"['Gene Kelly', 'Betty Noyes']","['1mhlGWeiNrWnhJJc2EufYk', '3mLYVpwZgpKUH88QeyIkiG']",1952-04-11,-2.4297854825247764,-1.675258277011064,5,-0.9899014738865589,1,-0.3789120225284298,1.3333954696499573,-0.4242203528803673,0.3584145869798502,-1.5146934210264573,1.7221125486932014,1,-60.6882209777832,8.083065032958984,71
25856,01Xre1aLhnJOz1IkOxM6E5,foggy mountain top,8,170667,0,"['The Carter Sisters', 'Mother Maybelle']","['2Z76ufZ8SQ3z2jEjrlecNV', '1B2bDUw0nlnTleO0hrJhpD']",1952,0.7670327878340157,-1.0441128980631282,1,0.34721024921080423,1,-0.4200476339169777,0.7256612491878621,-0.425119674329468,-0.09730073878158103,0.42576601068031605,0.25383402885576506,4,15.859816551208496,-63.081722259521484,80
25857,06JwXZBOxejX4xV8sPLXbM,hominy grits,8,184133,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1952,0.5984623328998426,-1.198922141956018,2,-0.7568648091410082,1,-0.37279726948418623,1.3161954445425394,-0.425119674329468,0.038328822456940095,0.17738720342184883,-0.5236796205442152,4,0.5778634548187256,-63.95572280883789,94
25859,0DZCiFM9CTUeX3d05aifKY,hush little baby,7,61360,0,['Jean Ritchie'],['7cWhIVoEYJd0oWnxULFt8s'],1952,-0.5935715984203852,-1.9995637956277077,3,-2.1937932486723843,1,-0.345558824105283,1.5111290624266076,-0.425119674329468,-0.7868414281182226,0.27052925614377404,0.8722298559604247,4,-12.751089096069336,-53.436729431152344,94
